start_date,end_date,duration,consent,condition,condition_for,condition_rol,timeEvent_forVic,moral,dim,color,visualDetail,sound,smell,touch,taste,vivid,detail,comprehensible,complex,realistic,location,setting,objects,people,time,year,season,day,hour,long,tone,implicationsThen,implicationsNow,felt,valenceThen,intensityThen,valenceNow,intensityNow,thoughts,reveal,before,after,accuracy,oftenThought,oftenTalked,timeEvent_unPer,check_time_unPer,attncheck_unPer,age,gender,education,language,race,attn_check_cond
3/18/20 18:37,3/18/20 18:45,501,Accept HIT,UnforgVic,No forgiveness,Victim,NA,7,3,6,3,2,1,1,1,3,2,4,2,4,4,4,3,3,4,6,4,4,4,1,3,5,2,5,3,4,3,3,4,5,3,5,3,2,3,NA,NA,NA,31,Male,4-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:39,3/18/20 18:45,349,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,4,4,5,3,2,2,2,1,3,3,5,2,5,4,4,3,3,3,4,5,3,4,2,3,4,2,4,3,4,3,4,4,4,3,4,5,3,2,NA,NA,NA,22,Woman,Some College,English,Caucasian/White,TRUE
3/18/20 18:42,3/18/20 18:45,201,Accept HIT,ForgVic,Forgiveness,Victim,19-Jan,7,7,1,7,1,1,3,1,7,7,7,1,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,1,7,1,7,7,1,7,6,7,7,7,NA,NA,NA,23,female,4-year College Degree,english,Asian/Asian American,TRUE
3/18/20 18:39,3/18/20 18:45,380,Accept HIT,UnforgVic,No forgiveness,Victim,NA,3,4,6,4,2,2,6,2,5,4,4,5,4,5,4,4,6,5,5,3,3,5,2,2,5,5,4,2,4,6,5,6,5,4,4,6,6,2,NA,NA,NA,42,male,4-year College Degree,english,Asian/Asian American,TRUE
3/18/20 18:39,3/18/20 18:45,350,Accept HIT,UnforgVic,No forgiveness,Victim,NA,6,7,7,7,7,1,1,1,7,6,7,2,7,7,7,5,7,6,7,7,6,7,3,1,6,3,7,1,7,1,6,7,3,7,7,7,4,5,NA,NA,NA,32,Female,4-year College Degree,English,African American/Black,TRUE
3/18/20 18:37,3/18/20 18:45,482,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,2,3,4,4,2,1,1,1,3,2,5,3,7,5,6,3,4,2,7,3,1,5,1,2,2,6,6,5,6,4,2,5,2,1,1,3,4,2,NA,NA,NA,36,male,Some College,English,Caucasian/White,TRUE
3/18/20 18:38,3/18/20 18:45,460,Accept HIT,ForgVic,Forgiveness,Victim,16-Oct,7,6,6,6,7,6,6,6,6,6,6,6,7,7,7,6,6,6,6,7,6,6,6,7,7,7,6,6,7,7,7,6,6,7,7,6,6,7,NA,NA,NA,64,male,Masters Degree,English,Caucasian/White,TRUE
3/18/20 18:39,3/18/20 18:45,380,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,7,6,7,7,7,1,1,1,6,5,7,6,6,7,7,6,3,7,3,6,6,6,3,1,7,7,7,1,7,1,6,6,3,7,7,5,3,1,NA,NA,NA,39,female,4-year College Degree,english,Caucasian/White,TRUE
3/18/20 18:38,3/18/20 18:45,460,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,7,6,3,7,6,1,6,1,6,6,6,6,7,6,4,3,6,7,5,6,5,3,7,1,2,7,6,1,7,1,7,5,4,2,7,5,7,7,Nobember 2012,Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",35,Male,4-year College Degree,English,Asian/Asian American,TRUE
3/18/20 18:37,3/18/20 18:46,491,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,6,5,5,4,5,3,5,3,4,4,4,4,5,4,5,4,5,6,6,4,6,3,4,2,5,6,4,3,6,3,4,4,4,5,6,5,4,5,NA,NA,NA,28,female,4-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:41,3/18/20 18:46,268,Accept HIT,ForgVic,Forgiveness,Victim,18-Dec,6,6,6,6,6,2,4,5,7,7,5,6,7,6,6,5,6,6,6,6,5,6,5,6,6,2,6,1,6,1,7,5,1,5,4,7,3,2,NA,NA,NA,31,male,Masters Degree,english,Caucasian/White,TRUE
3/18/20 18:40,3/18/20 18:46,359,Accept HIT,ForgVic,Forgiveness,Victim,17-Feb,6,6,7,6,7,1,6,1,6,6,6,5,6,6,5,6,7,6,7,6,6,6,3,1,5,6,7,1,7,1,7,7,5,6,7,7,7,1,NA,NA,NA,28,Male,2-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:36,3/18/20 18:46,600,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,6,7,5,7,2,1,5,3,7,7,6,6,7,7,5,6,6,6,6,7,6,4,5,2,5,6,6,3,5,3,5,6,5,6,6,6,5,3,NA,NA,NA,32,male,Masters Degree,english,Caucasian/White,TRUE
3/18/20 18:36,3/18/20 18:46,606,Accept HIT,ForgVic,Forgiveness,Victim,14-May,7,7,6,6,7,1,2,1,7,7,7,6,6,7,7,6,6,7,7,7,6,6,7,1,6,7,7,1,7,1,5,7,7,5,6,7,7,6,NA,NA,NA,35,male,4-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:38,3/18/20 18:47,535,Accept HIT,UnforgVic,No forgiveness,Victim,NA,7,5,6,2,1,1,6,1,5,5,4,2,3,5,5,5,6,3,5,5,3,1,1,1,5,6,6,1,6,2,6,5,2,1,3,6,5,2,NA,NA,NA,34,female,Doctoral Degree,english,Caucasian/White,TRUE
3/18/20 18:37,3/18/20 18:47,600,Accept HIT,UnforgVic,No forgiveness,Victim,NA,6,7,5,3,3,1,2,1,6,6,7,2,6,7,7,4,5,6,7,7,7,6,3,1,5,2,7,1,7,2,6,7,3,6,7,7,4,2,NA,NA,NA,28,Female,2-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:43,3/18/20 18:47,235,Accept HIT,UnforgVic,No forgiveness,Victim,NA,5,5,3,3,3,1,2,1,5,5,4,5,5,6,5,4,4,5,6,6,5,4,3,2,5,5,6,2,6,2,5,5,5,3,2,3,5,5,NA,NA,NA,48,male,Doctoral Degree,english,Caucasian/White,TRUE
3/18/20 18:40,3/18/20 18:47,418,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,3,3,2,3,5,5,4,3,4,4,4,5,3,3,5,4,5,4,4,5,4,5,5,3,2,3,4,3,4,4,3,3,3,5,3,4,5,2,"October, 2002",Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",27,male,Some College,english,Caucasian/White,TRUE
3/18/20 18:37,3/18/20 18:47,558,Accept HIT,ForgVic,Forgiveness,Victim,19-Aug,7,7,7,7,7,1,7,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,5,1,7,4,7,1,7,2,4,7,5,7,7,7,6,5,NA,NA,NA,29,female,High School / GED,english,Caucasian/White,TRUE
3/18/20 18:37,3/18/20 18:47,559,Accept HIT,ForgVic,Forgiveness,Victim,11-Jan,7,7,4,7,7,1,1,1,7,7,7,1,7,7,7,7,7,7,7,4,7,4,4,1,7,7,7,1,7,1,7,7,4,4,7,7,7,7,NA,NA,NA,65,Female,4-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:38,3/18/20 18:47,505,Accept HIT,ForgVic,Forgiveness,Victim,10-Sep,7,4,3,5,5,1,5,1,4,3,3,6,3,7,7,3,5,4,7,7,3,3,5,1,6,7,7,1,7,2,5,5,4,2,4,3,3,4,NA,NA,NA,36,female,4-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:41,3/18/20 18:47,372,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,6,5,4,4,3,4,5,4,5,6,3,4,5,7,4,4,3,3,3,3,5,1,1,3,5,1,5,4,5,3,4,5,2,1,3,5,2,2,NA,NA,NA,21,Male,Some College,English,Caucasian/White,TRUE
3/18/20 18:37,3/18/20 18:47,576,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,3,7,7,6,6,1,2,1,6,6,6,6,6,7,6,6,6,4,7,6,6,3,2,1,7,5,7,1,7,2,5,6,5,5,6,6,2,2,NA,NA,NA,47,Male,2-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:38,3/18/20 18:47,567,Accept HIT,UnforgVic,No forgiveness,Victim,NA,6,7,7,5,5,1,2,1,7,7,2,7,3,7,7,7,7,7,7,7,7,7,4,1,7,6,7,4,7,1,7,7,5,2,6,7,7,1,NA,NA,NA,51,Male,Some College,English,"African American/Black,Caucasian/White,Latino/Hispanic",TRUE
3/18/20 18:39,3/18/20 18:47,482,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,4,5,4,5,4,2,2,2,6,6,6,6,6,6,5,5,5,5,6,5,6,5,4,2,6,6,6,2,6,2,6,5,5,5,6,2,6,2,16-Oct,Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",29,Male,4-year College Degree,english,Caucasian/White,TRUE
3/18/20 18:39,3/18/20 18:47,498,Accept HIT,UnforgVic,No forgiveness,Victim,NA,6,7,7,7,1,1,2,1,7,6,7,6,7,7,7,4,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,7,5,3,7,7,5,6,NA,NA,NA,46,Female,Masters Degree,English,Caucasian/White,TRUE
3/18/20 18:37,3/18/20 18:47,604,Accept HIT,ForgVic,Forgiveness,Victim,15-Jul,3,6,4,7,1,1,2,1,5,6,6,3,7,5,5,3,5,4,5,5,3,1,6,2,7,2,7,1,6,3,5,5,6,1,1,6,5,2,NA,NA,NA,33,male,4-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:37,3/18/20 18:47,638,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,1,7,6,7,6,1,1,1,7,7,7,5,7,7,7,5,7,7,7,7,7,7,5,2,1,1,7,3,2,2,5,7,1,6,6,7,3,3,13-Jul,Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",47,female,High School / GED,English,Caucasian/White,TRUE
3/18/20 18:43,3/18/20 18:47,271,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,5,7,7,5,5,1,1,1,6,7,7,6,7,7,7,5,4,6,7,7,6,7,3,4,4,4,5,4,5,4,4,7,4,7,6,7,4,2,NA,NA,NA,38,Male,High School / GED,English,Caucasian/White,TRUE
3/18/20 18:39,3/18/20 18:47,506,Accept HIT,UnforgVic,No forgiveness,Victim,NA,7,6,3,5,5,5,5,5,6,5,7,5,7,6,6,3,6,6,5,5,5,3,3,1,7,3,5,2,6,2,6,5,6,6,5,6,5,6,NA,NA,NA,34,female,4-year College Degree,english,African American/Black,TRUE
3/18/20 18:38,3/18/20 18:47,589,Accept HIT,UnforgVic,No forgiveness,Victim,NA,6,6,7,6,5,1,7,2,6,6,6,2,6,7,7,4,5,6,7,6,6,7,2,1,6,6,7,1,7,2,6,4,5,6,7,6,2,2,NA,NA,NA,59,male,Masters Degree,English,Caucasian/White,TRUE
3/18/20 18:39,3/18/20 18:48,511,Accept HIT,UnforgVic,No forgiveness,Victim,NA,7,4,4,1,1,1,1,1,4,4,3,2,6,3,3,2,3,2,5,5,6,1,2,1,7,6,7,1,7,1,6,2,2,2,3,6,3,1,NA,NA,NA,29,Male,High School / GED,English,"Caucasian/White,Latino/Hispanic",TRUE
3/18/20 18:40,3/18/20 18:48,464,Accept HIT,UnforgVic,No forgiveness,Victim,NA,6,5,6,5,4,2,2,1,5,6,6,3,6,7,6,4,3,6,3,4,3,3,5,1,7,4,6,1,7,2,4,6,4,3,5,5,6,7,NA,NA,NA,56,female,4-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:37,3/18/20 18:48,620,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,7,4,3,5,4,4,6,4,5,5,6,7,5,5,4,4,5,5,5,5,5,4,4,1,7,7,6,2,7,1,7,5,3,7,7,6,7,4,NA,NA,NA,37,Female,Masters Degree,English,Caucasian/White,TRUE
3/18/20 18:40,3/18/20 18:48,466,Accept HIT,ForgVic,Forgiveness,Victim,"October, 2015",7,5,7,6,2,1,5,1,5,5,5,3,7,6,2,3,5,4,2,5,3,5,1,1,7,5,7,1,7,1,5,5,1,3,3,7,6,2,NA,NA,NA,35,male,Some College,English,Caucasian/White,TRUE
3/18/20 18:45,3/18/20 18:48,179,Accept HIT,UnforgVic,No forgiveness,Victim,NA,7,7,6,7,7,2,1,1,7,7,7,4,7,7,5,7,4,7,7,7,7,7,7,1,7,1,7,1,7,1,6,7,1,4,6,7,5,7,NA,NA,NA,33,Male,High School / GED,English,Caucasian/White,TRUE
3/18/20 18:44,3/18/20 18:48,249,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,7,6,5,6,5,3,5,1,6,6,6,5,6,6,6,6,5,6,6,7,6,4,3,2,6,4,6,1,7,2,3,5,5,6,6,6,2,1,NA,NA,NA,35,male,4-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:37,3/18/20 18:48,710,Accept HIT,UnforgVic,No forgiveness,Victim,NA,6,5,7,6,7,1,1,1,6,5,7,1,7,7,7,6,7,6,6,4,6,6,2,1,7,5,6,1,7,1,4,6,5,6,1,5,7,1,NA,NA,NA,48,male,2-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:39,3/18/20 18:48,542,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,6,5,7,5,3,1,2,1,6,5,6,3,6,5,6,4,5,3,3,3,3,3,4,2,2,5,6,5,5,3,4,5,4,5,5,5,3,1,15-Apr,Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",30,Male,4-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:42,3/18/20 18:48,411,Accept HIT,ForgVic,Forgiveness,Victim,19-Jul,5,7,7,4,6,1,1,1,7,7,7,2,7,7,7,5,6,5,7,7,6,4,2,1,3,3,7,1,7,1,5,7,2,7,7,6,4,1,NA,NA,NA,33,Male,4-year College Degree,English,Asian/Asian American,TRUE
3/18/20 18:38,3/18/20 18:49,611,Accept HIT,ForgPer,Forgiveness,Perpetrator,NA,6,6,7,7,5,2,7,1,7,7,1,1,7,6,7,6,3,7,7,7,7,5,4,7,6,6,6,6,6,7,7,5,6,7,6,6,7,2,NA,NA,NA,34,Female,4-year College Degree,English,African American/Black,TRUE
3/18/20 18:40,3/18/20 18:49,496,Accept HIT,ForgVic,Forgiveness,Victim,"August, 2014",5,6,7,6,4,1,1,1,6,6,7,2,7,7,7,4,7,6,6,7,6,5,3,3,7,3,7,1,7,3,5,7,5,4,6,6,3,2,NA,NA,NA,52,Male,2-year College Degree,English,Caucasian/White,TRUE
3/18/20 18:42,3/18/20 18:49,403,Accept HIT,UnforgVic,No forgiveness,Victim,NA,7,7,7,7,7,1,1,1,7,7,7,4,7,7,7,7,7,7,7,7,7,7,4,1,7,7,7,1,7,1,7,7,4,7,7,7,4,3,NA,NA,NA,38,Male,Less than High School,English,Caucasian/White,TRUE
3/18/20 18:44,3/18/20 18:49,314,Accept HIT,UnforgPer,No forgiveness,Perpetrator,NA,3,3,6,4,4,1,1,1,3,4,5,4,5,4,4,2,2,1,5,3,1,1,4,3,5,4,5,2,5,4,2,5,4,1,1,5,2,2,11-Mar,Yes,"A memory in which I harmed another person, and I know the person I harmed did NOT end up forgiving me.",26,female,4-year College Degree,English,Other,TRUE
3/18/20 18:45,3/18/20 18:49,225,Accept HIT,ForgVic,Forgiveness,Victim,19-Feb,6,6,7,7,7,1,1,1,6,7,5,5,7,7,7,5,6,6,7,6,5,6,5,1,6,6,6,1,7,6,6,6,6,5,5,7,6,6,NA,NA,NA,20,female,Some College,English,Caucasian/White,TRUE
